Test angle: 45
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | 0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | 0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | 0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | 0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | -0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | 0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | 0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
102.792 | -0.000 | 0.000 | -0.000 | 0.0016 |-0.0005 |0.0000 |-0.0000 |0.0001 |
103.206 | 0.000 | 0.000 | -0.000 | 0.0017 |-0.0005 |0.0000 |-0.0000 |0.0002 |
103.613 | 0.000 | 0.000 | -0.000 | 0.0018 |-0.0006 |0.0000 |-0.0000 |0.0003 |
104.015 | 0.000 | 0.000 | -0.001 | 0.0019 |-0.0006 |0.0000 |-0.0000 |0.0004 |
104.608 | -0.000 | 0.000 | -0.001 | 0.0021 |-0.0006 |0.0000 |-0.0000 |0.0005 |
105.480 | -0.000 | 0.000 | -0.001 | 0.0023 |-0.0007 |0.0000 |-0.0000 |0.0007 |
106.751 | 0.000 | 0.000 | -0.001 | 0.0027 |-0.0007 |0.0000 |-0.0000 |0.0010 |
108.204 | -0.000 | 0.000 | -0.002 | 0.0031 |-0.0008 |0.0000 |-0.0000 |0.0014 |
109.606 | -0.000 | 0.000 | -0.003 | 0.0035 |-0.0009 |0.0000 |-0.0001 |0.0018 |
110.963 | 0.000 | 0.000 | -0.003 | 0.0040 |-0.0010 |0.0000 |-0.0001 |0.0022 |
112.277 | -0.000 | 0.000 | -0.004 | 0.0044 |-0.0011 |0.0000 |-0.0001 |0.0025 |
113.553 | 0.000 | 0.000 | -0.005 | 0.0048 |-0.0012 |0.0000 |-0.0001 |0.0029 |
114.793 | -0.000 | 0.000 | -0.005 | 0.0052 |-0.0013 |0.0000 |-0.0001 |0.0033 |
116.000 | 0.000 | 0.000 | -0.006 | 0.0057 |-0.0014 |0.0000 |-0.0001 |0.0036 |
117.176 | 0.000 | 0.000 | -0.007 | 0.0061 |-0.0015 |0.0000 |-0.0001 |0.0040 |
118.323 | 0.000 | 0.000 | -0.007 | 0.0065 |-0.0016 |0.0000 |-0.0001 |0.0044 |
119.442 | 0.000 | 0.000 | -0.008 | 0.0069 |-0.0017 |0.0000 |-0.0001 |0.0048 |
120.535 | 0.000 | 0.000 | -0.009 | 0.0074 |-0.0017 |0.0000 |-0.0001 |0.0051 |
121.604 | 0.000 | 0.000 | -0.009 | 0.0078 |-0.0018 |0.0000 |-0.0002 |0.0055 |
122.650 | -0.000 | 0.000 | -0.010 | 0.0082 |-0.0019 |0.0000 |-0.0002 |0.0059 |
123.674 | 0.000 | 0.000 | -0.011 | 0.0086 |-0.0020 |0.0000 |-0.0002 |0.0062 |
124.677 | 0.000 | 0.000 | -0.011 | 0.0090 |-0.0021 |0.0000 |-0.0002 |0.0066 |
125.660 | 0.000 | 0.000 | -0.012 | 0.0095 |-0.0022 |0.0000 |-0.0002 |0.0070 |
126.624 | 0.000 | 0.000 | -0.013 | 0.0099 |-0.0023 |0.0000 |-0.0002 |0.0073 |
127.571 | 0.000 | 0.000 | -0.014 | 0.0103 |-0.0024 |0.0000 |-0.0002 |0.0077 |
128.499 | 0.000 | 0.000 | -0.014 | 0.0107 |-0.0025 |0.0000 |-0.0002 |0.0081 |
129.412 | 0.000 | 0.000 | -0.015 | 0.0111 |-0.0025 |0.0000 |-0.0002 |0.0084 |
130.309 | 0.000 | 0.000 | -0.016 | 0.0116 |-0.0026 |0.0000 |-0.0002 |0.0088 |
131.190 | 0.000 | 0.000 | -0.017 | 0.0120 |-0.0027 |0.0000 |-0.0003 |0.0092 |
132.057 | 0.000 | 0.000 | -0.018 | 0.0124 |-0.0028 |0.0000 |-0.0003 |0.0095 |
132.910 | 0.000 | 0.000 | -0.018 | 0.0128 |-0.0029 |0.0000 |-0.0003 |0.0099 |
133.749 | 0.000 | 0.000 | -0.019 | 0.0132 |-0.0030 |0.0000 |-0.0003 |0.0103 |
134.576 | 0.000 | 0.000 | -0.020 | 0.0136 |-0.0031 |0.0000 |-0.0003 |0.0106 |
135.390 | 0.000 | 0.000 | -0.021 | 0.0141 |-0.0032 |0.0000 |-0.0003 |0.0110 |
136.192 | 0.000 | 0.000 | -0.022 | 0.0145 |-0.0032 |0.0000 |-0.0003 |0.0114 |
136.982 | 0.000 | 0.000 | -0.022 | 0.0149 |-0.0033 |0.0000 |-0.0003 |0.0117 |
137.761 | 0.000 | 0.000 | -0.023 | 0.0153 |-0.0034 |0.0000 |-0.0003 |0.0121 |
138.529 | 0.000 | 0.000 | -0.024 | 0.0157 |-0.0035 |0.0000 |-0.0004 |0.0125 |
139.287 | 0.000 | 0.000 | -0.025 | 0.0161 |-0.0036 |0.0000 |-0.0004 |0.0128 |
140.034 | 0.000 | 0.000 | -0.026 | 0.0165 |-0.0037 |0.0000 |-0.0004 |0.0132 |
140.771 | 0.000 | 0.000 | -0.027 | 0.0170 |-0.0038 |0.0000 |-0.0004 |0.0136 |
141.499 | 0.000 | 0.000 | -0.028 | 0.0174 |-0.0039 |0.0000 |-0.0004 |0.0139 |
142.218 | 0.000 | 0.000 | -0.028 | 0.0178 |-0.0039 |0.0000 |-0.0004 |0.0143 |
142.928 | 0.000 | 0.000 | -0.029 | 0.0182 |-0.0040 |0.0000 |-0.0004 |0.0147 |
143.629 | 0.000 | 0.000 | -0.030 | 0.0186 |-0.0041 |0.0000 |-0.0004 |0.0150 |
144.322 | 0.000 | 0.000 | -0.031 | 0.0190 |-0.0042 |0.0000 |-0.0004 |0.0154 |
145.006 | 0.000 | 0.000 | -0.032 | 0.0194 |-0.0043 |0.0000 |-0.0004 |0.0158 |
145.682 | 0.000 | 0.000 | -0.033 | 0.0199 |-0.0044 |0.0000 |-0.0005 |0.0161 |
146.351 | 0.000 | 0.000 | -0.034 | 0.0203 |-0.0045 |0.0000 |-0.0005 |0.0165 |
147.012 | 0.000 | 0.000 | -0.035 | 0.0207 |-0.0046 |0.0000 |-0.0005 |0.0169 |
147.666 | 0.000 | 0.000 | -0.036 | 0.0211 |-0.0046 |0.0000 |-0.0005 |0.0172 |
148.312 | 0.000 | 0.000 | -0.037 | 0.0215 |-0.0047 |0.0000 |-0.0005 |0.0176 |
148.951 | 0.000 | 0.000 | -0.037 | 0.0219 |-0.0048 |0.0000 |-0.0005 |0.0180 |
149.584 | 0.000 | 0.000 | -0.038 | 0.0223 |-0.0049 |0.0000 |-0.0005 |0.0183 |
150.210 | 0.000 | 0.000 | -0.039 | 0.0227 |-0.0050 |0.0000 |-0.0005 |0.0187 |
150.829 | 0.000 | 0.000 | -0.040 | 0.0231 |-0.0051 |0.0000 |-0.0005 |0.0191 |
151.442 | 0.000 | 0.000 | -0.041 | 0.0236 |-0.0052 |0.0000 |-0.0006 |0.0194 |
152.049 | 0.000 | 0.000 | -0.042 | 0.0240 |-0.0053 |0.0000 |-0.0006 |0.0198 |
152.650 | 0.000 | 0.000 | -0.043 | 0.0244 |-0.0053 |0.0000 |-0.0006 |0.0202 |
153.245 | 0.000 | 0.000 | -0.044 | 0.0248 |-0.0054 |0.0000 |-0.0006 |0.0205 |
153.835 | 0.000 | 0.000 | -0.045 | 0.0252 |-0.0055 |0.0000 |-0.0006 |0.0209 |
154.418 | 0.000 | 0.000 | -0.046 | 0.0256 |-0.0056 |0.0000 |-0.0006 |0.0213 |
154.996 | 0.000 | 0.000 | -0.047 | 0.0260 |-0.0057 |0.0000 |-0.0006 |0.0216 |
155.569 | 0.000 | 0.000 | -0.048 | 0.0264 |-0.0058 |0.0000 |-0.0006 |0.0220 |
156.137 | 0.000 | 0.000 | -0.049 | 0.0268 |-0.0059 |0.0000 |-0.0006 |0.0224 |
156.699 | 0.000 | 0.000 | -0.050 | 0.0272 |-0.0059 |0.0000 |-0.0006 |0.0227 |
157.256 | 0.000 | 0.000 | -0.051 | 0.0276 |-0.0060 |0.0000 |-0.0007 |0.0231 |
157.808 | 0.000 | 0.000 | -0.052 | 0.0281 |-0.0061 |0.0000 |-0.0007 |0.0234 |
158.356 | 0.000 | 0.000 | -0.053 | 0.0285 |-0.0062 |0.0000 |-0.0007 |0.0238 |
158.899 | 0.000 | 0.000 | -0.054 | 0.0289 |-0.0063 |0.0000 |-0.0007 |0.0242 |
159.437 | 0.000 | 0.000 | -0.055 | 0.0293 |-0.0064 |0.0000 |-0.0007 |0.0245 |
159.970 | 0.000 | 0.000 | -0.056 | 0.0297 |-0.0065 |0.0000 |-0.0007 |0.0249 |
160.499 | 0.000 | 0.000 | -0.057 | 0.0301 |-0.0065 |0.0000 |-0.0007 |0.0253 |
161.024 | 0.000 | 0.000 | -0.058 | 0.0305 |-0.0066 |0.0000 |-0.0007 |0.0256 |
161.544 | 0.000 | 0.000 | -0.059 | 0.0309 |-0.0067 |0.0000 |-0.0007 |0.0260 |
162.061 | 0.000 | 0.000 | -0.060 | 0.0313 |-0.0068 |0.0000 |-0.0008 |0.0264 |
162.573 | 0.000 | 0.000 | -0.061 | 0.0317 |-0.0069 |0.0000 |-0.0008 |0.0267 |
163.081 | 0.000 | 0.000 | -0.062 | 0.0321 |-0.0070 |0.0000 |-0.0008 |0.0271 |
163.585 | 0.000 | 0.000 | -0.063 | 0.0325 |-0.0071 |0.0000 |-0.0008 |0.0274 |
164.085 | 0.000 | 0.000 | -0.064 | 0.0329 |-0.0071 |0.0000 |-0.0008 |0.0278 |
164.581 | 0.000 | 0.000 | -0.065 | 0.0334 |-0.0072 |0.0000 |-0.0008 |0.0282 |
165.074 | 0.000 | 0.000 | -0.066 | 0.0338 |-0.0073 |0.0000 |-0.0008 |0.0285 |
165.562 | 0.000 | 0.000 | -0.067 | 0.0342 |-0.0074 |0.0000 |-0.0008 |0.0289 |
166.047 | 0.000 | 0.000 | -0.068 | 0.0346 |-0.0075 |0.0000 |-0.0008 |0.0293 |
166.529 | 0.000 | 0.000 | -0.069 | 0.0350 |-0.0076 |0.0000 |-0.0008 |0.0296 |
167.007 | 0.000 | 0.000 | -0.070 | 0.0354 |-0.0077 |0.0000 |-0.0009 |0.0300 |
167.482 | 0.000 | 0.000 | -0.071 | 0.0358 |-0.0077 |0.0000 |-0.0009 |0.0303 |
167.953 | 0.000 | 0.000 | -0.072 | 0.0362 |-0.0078 |0.0000 |-0.0009 |0.0307 |
168.421 | 0.000 | 0.000 | -0.073 | 0.0366 |-0.0079 |0.0000 |-0.0009 |0.0311 |
168.885 | 0.000 | 0.000 | -0.074 | 0.0370 |-0.0080 |0.0000 |-0.0009 |0.0314 |
169.347 | 0.000 | 0.000 | -0.075 | 0.0374 |-0.0081 |0.0000 |-0.0009 |0.0318 |
169.805 | 0.000 | 0.000 | -0.077 | 0.0378 |-0.0082 |0.0000 |-0.0009 |0.0322 |
170.260 | 0.000 | 0.000 | -0.078 | 0.0382 |-0.0082 |0.0000 |-0.0009 |0.0325 |
170.712 | 0.000 | 0.000 | -0.079 | 0.0386 |-0.0083 |0.0000 |-0.0009 |0.0329 |
171.161 | 0.000 | 0.000 | -0.080 | 0.0390 |-0.0084 |0.0000 |-0.0010 |0.0332 |
171.607 | 0.000 | 0.000 | -0.081 | 0.0394 |-0.0085 |0.0000 |-0.0010 |0.0336 |
172.050 | 0.000 | 0.000 | -0.082 | 0.0398 |-0.0086 |0.0000 |-0.0010 |0.0340 |
172.490 | 0.000 | 0.000 | -0.083 | 0.0402 |-0.0087 |0.0000 |-0.0010 |0.0343 |
172.927 | 0.000 | 0.000 | -0.084 | 0.0406 |-0.0088 |0.0000 |-0.0010 |0.0347 |
173.362 | 0.000 | 0.000 | -0.085 | 0.0410 |-0.0088 |0.0000 |-0.0010 |0.0350 |
173.794 | 0.000 | 0.000 | -0.086 | 0.0415 |-0.0089 |0.0000 |-0.0010 |0.0354 |
174.222 | 0.000 | 0.000 | -0.087 | 0.0419 |-0.0090 |0.0000 |-0.0010 |0.0358 |
174.649 | 0.000 | 0.000 | -0.088 | 0.0423 |-0.0091 |0.0000 |-0.0010 |0.0361 |
175.072 | 0.000 | 0.000 | -0.090 | 0.0427 |-0.0092 |0.0000 |-0.0010 |0.0365 |
175.493 | 0.000 | 0.000 | -0.091 | 0.0431 |-0.0093 |0.0000 |-0.0011 |0.0369 |
