Test angle: 0
Mesh element_496 : S11 | S22 | S33 | S12 | E11 | E22 | E33 | 2*E12 | EPbar 
0.000 | 0.000 | 0.000 | 0.000 | 0.0000 |0.0000 |0.0000 |0.0000 |0.0000 |
0.503 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.005 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
1.759 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
2.891 | -0.000 | 0.000 | -0.000 | 0.0000 |-0.0000 |0.0000 |-0.0000 |0.0000 |
4.587 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
7.132 | -0.000 | 0.000 | -0.000 | 0.0001 |-0.0000 |0.0000 |-0.0000 |0.0000 |
10.949 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
16.675 | -0.000 | 0.000 | -0.000 | 0.0002 |-0.0001 |0.0000 |-0.0000 |0.0000 |
25.262 | -0.000 | 0.000 | -0.000 | 0.0004 |-0.0001 |0.0000 |-0.0000 |0.0000 |
38.142 | -0.000 | 0.000 | -0.000 | 0.0005 |-0.0002 |0.0000 |-0.0000 |0.0000 |
57.458 | -0.000 | 0.000 | -0.000 | 0.0008 |-0.0003 |0.0000 |-0.0000 |0.0000 |
82.576 | -0.000 | 0.000 | -0.000 | 0.0012 |-0.0004 |0.0000 |-0.0000 |0.0000 |
107.683 | -0.000 | 0.000 | -0.000 | 0.0015 |-0.0005 |0.0000 |-0.0000 |0.0000 |
114.363 | -0.000 | 0.000 | 0.000 | 0.0020 |-0.0006 |0.0000 |0.0000 |0.0003 |
116.238 | 0.000 | 0.000 | 0.001 | 0.0024 |-0.0008 |0.0000 |0.0000 |0.0007 |
118.029 | 0.000 | 0.000 | 0.001 | 0.0028 |-0.0009 |0.0000 |0.0000 |0.0012 |
119.747 | 0.000 | 0.000 | 0.002 | 0.0033 |-0.0011 |0.0000 |0.0000 |0.0016 |
121.403 | 0.000 | 0.000 | 0.002 | 0.0037 |-0.0012 |0.0000 |0.0000 |0.0020 |
123.001 | 0.000 | 0.000 | 0.003 | 0.0041 |-0.0014 |0.0000 |0.0000 |0.0024 |
124.548 | 0.000 | 0.000 | 0.004 | 0.0046 |-0.0015 |0.0000 |0.0001 |0.0028 |
126.047 | 0.000 | 0.000 | 0.004 | 0.0050 |-0.0016 |0.0000 |0.0001 |0.0032 |
127.502 | 0.000 | 0.000 | 0.005 | 0.0054 |-0.0018 |0.0000 |0.0001 |0.0036 |
128.917 | 0.000 | 0.000 | 0.005 | 0.0058 |-0.0019 |0.0000 |0.0001 |0.0040 |
130.293 | 0.000 | 0.000 | 0.006 | 0.0062 |-0.0021 |0.0000 |0.0001 |0.0044 |
131.634 | 0.000 | 0.000 | 0.007 | 0.0067 |-0.0022 |0.0000 |0.0001 |0.0048 |
132.941 | 0.000 | 0.000 | 0.007 | 0.0071 |-0.0023 |0.0000 |0.0001 |0.0052 |
134.217 | 0.000 | 0.000 | 0.008 | 0.0075 |-0.0025 |0.0000 |0.0001 |0.0056 |
135.463 | 0.000 | 0.000 | 0.008 | 0.0079 |-0.0026 |0.0000 |0.0001 |0.0060 |
136.681 | 0.000 | 0.000 | 0.009 | 0.0084 |-0.0028 |0.0000 |0.0001 |0.0064 |
137.873 | 0.000 | 0.000 | 0.010 | 0.0088 |-0.0029 |0.0000 |0.0001 |0.0068 |
139.040 | 0.000 | 0.000 | 0.010 | 0.0092 |-0.0030 |0.0000 |0.0002 |0.0072 |
140.182 | 0.000 | 0.000 | 0.011 | 0.0096 |-0.0032 |0.0000 |0.0002 |0.0076 |
141.302 | 0.000 | 0.000 | 0.012 | 0.0100 |-0.0033 |0.0000 |0.0002 |0.0080 |
142.401 | 0.000 | 0.000 | 0.012 | 0.0104 |-0.0035 |0.0000 |0.0002 |0.0084 |
143.479 | 0.000 | 0.000 | 0.013 | 0.0109 |-0.0036 |0.0000 |0.0002 |0.0088 |
144.536 | 0.000 | 0.000 | 0.014 | 0.0113 |-0.0037 |0.0000 |0.0002 |0.0092 |
145.575 | 0.000 | 0.000 | 0.015 | 0.0117 |-0.0039 |0.0000 |0.0002 |0.0096 |
146.596 | 0.000 | 0.000 | 0.015 | 0.0121 |-0.0040 |0.0000 |0.0002 |0.0100 |
147.600 | 0.000 | 0.000 | 0.016 | 0.0125 |-0.0041 |0.0000 |0.0002 |0.0104 |
148.587 | 0.000 | 0.000 | 0.017 | 0.0129 |-0.0043 |0.0000 |0.0002 |0.0108 |
149.558 | 0.000 | 0.000 | 0.017 | 0.0133 |-0.0044 |0.0000 |0.0002 |0.0112 |
150.513 | 0.000 | 0.000 | 0.018 | 0.0138 |-0.0046 |0.0000 |0.0002 |0.0116 |
151.453 | 0.000 | 0.000 | 0.019 | 0.0142 |-0.0047 |0.0000 |0.0003 |0.0120 |
152.380 | 0.000 | 0.000 | 0.020 | 0.0146 |-0.0048 |0.0000 |0.0003 |0.0124 |
153.292 | 0.000 | 0.000 | 0.021 | 0.0150 |-0.0050 |0.0000 |0.0003 |0.0128 |
154.191 | 0.000 | 0.000 | 0.021 | 0.0154 |-0.0051 |0.0000 |0.0003 |0.0132 |
155.078 | 0.000 | 0.000 | 0.022 | 0.0158 |-0.0052 |0.0000 |0.0003 |0.0136 |
155.952 | 0.000 | 0.000 | 0.023 | 0.0162 |-0.0054 |0.0000 |0.0003 |0.0140 |
156.813 | 0.000 | 0.000 | 0.024 | 0.0167 |-0.0055 |0.0000 |0.0003 |0.0144 |
157.664 | 0.000 | 0.000 | 0.024 | 0.0171 |-0.0057 |0.0000 |0.0003 |0.0148 |
158.502 | 0.000 | 0.000 | 0.025 | 0.0175 |-0.0058 |0.0000 |0.0003 |0.0152 |
159.330 | 0.000 | 0.000 | 0.026 | 0.0179 |-0.0059 |0.0000 |0.0003 |0.0156 |
160.148 | 0.000 | 0.000 | 0.027 | 0.0183 |-0.0061 |0.0000 |0.0003 |0.0160 |
160.955 | 0.000 | 0.000 | 0.028 | 0.0187 |-0.0062 |0.0000 |0.0003 |0.0164 |
161.752 | 0.000 | 0.000 | 0.028 | 0.0191 |-0.0063 |0.0000 |0.0004 |0.0168 |
162.540 | 0.000 | 0.000 | 0.029 | 0.0195 |-0.0065 |0.0000 |0.0004 |0.0172 |
163.318 | 0.000 | 0.000 | 0.030 | 0.0199 |-0.0066 |0.0000 |0.0004 |0.0176 |
164.087 | 0.000 | 0.000 | 0.031 | 0.0204 |-0.0067 |0.0000 |0.0004 |0.0180 |
164.847 | 0.000 | 0.000 | 0.032 | 0.0208 |-0.0069 |0.0000 |0.0004 |0.0184 |
165.598 | 0.000 | 0.000 | 0.033 | 0.0212 |-0.0070 |0.0000 |0.0004 |0.0188 |
166.341 | 0.000 | 0.000 | 0.034 | 0.0216 |-0.0072 |0.0000 |0.0004 |0.0192 |
167.076 | 0.000 | 0.000 | 0.034 | 0.0220 |-0.0073 |0.0000 |0.0004 |0.0196 |
167.802 | 0.000 | 0.000 | 0.035 | 0.0224 |-0.0074 |0.0000 |0.0004 |0.0200 |
168.521 | 0.000 | 0.000 | 0.036 | 0.0228 |-0.0076 |0.0000 |0.0004 |0.0204 |
169.233 | 0.000 | 0.000 | 0.037 | 0.0232 |-0.0077 |0.0000 |0.0004 |0.0208 |
169.937 | 0.000 | 0.000 | 0.038 | 0.0236 |-0.0078 |0.0000 |0.0005 |0.0212 |
170.634 | 0.000 | 0.000 | 0.039 | 0.0240 |-0.0080 |0.0000 |0.0005 |0.0216 |
171.324 | 0.000 | 0.000 | 0.040 | 0.0244 |-0.0081 |0.0000 |0.0005 |0.0220 |
172.006 | 0.000 | 0.000 | 0.041 | 0.0249 |-0.0082 |0.0000 |0.0005 |0.0224 |
172.682 | 0.000 | 0.000 | 0.041 | 0.0253 |-0.0084 |0.0000 |0.0005 |0.0228 |
173.352 | 0.000 | 0.000 | 0.042 | 0.0257 |-0.0085 |0.0000 |0.0005 |0.0232 |
174.015 | 0.000 | 0.000 | 0.043 | 0.0261 |-0.0086 |0.0000 |0.0005 |0.0236 |
174.671 | 0.000 | 0.000 | 0.044 | 0.0265 |-0.0088 |0.0000 |0.0005 |0.0240 |
175.322 | 0.000 | 0.000 | 0.045 | 0.0269 |-0.0089 |0.0000 |0.0005 |0.0244 |
175.966 | 0.000 | 0.000 | 0.046 | 0.0273 |-0.0090 |0.0000 |0.0005 |0.0248 |
176.605 | 0.000 | 0.000 | 0.047 | 0.0277 |-0.0092 |0.0000 |0.0005 |0.0252 |
177.238 | 0.000 | 0.000 | 0.048 | 0.0281 |-0.0093 |0.0000 |0.0005 |0.0256 |
177.866 | 0.000 | 0.000 | 0.049 | 0.0285 |-0.0095 |0.0000 |0.0006 |0.0260 |
178.488 | 0.000 | 0.000 | 0.050 | 0.0289 |-0.0096 |0.0000 |0.0006 |0.0264 |
179.104 | 0.000 | 0.000 | 0.051 | 0.0293 |-0.0097 |0.0000 |0.0006 |0.0268 |
179.715 | 0.000 | 0.000 | 0.051 | 0.0297 |-0.0099 |0.0000 |0.0006 |0.0272 |
180.321 | 0.000 | 0.000 | 0.052 | 0.0301 |-0.0100 |0.0000 |0.0006 |0.0276 |
180.922 | 0.000 | 0.000 | 0.053 | 0.0305 |-0.0101 |0.0000 |0.0006 |0.0280 |
181.518 | 0.000 | 0.000 | 0.054 | 0.0310 |-0.0103 |0.0000 |0.0006 |0.0284 |
182.109 | 0.000 | 0.000 | 0.055 | 0.0314 |-0.0104 |0.0000 |0.0006 |0.0288 |
182.695 | 0.000 | 0.000 | 0.056 | 0.0318 |-0.0105 |0.0000 |0.0006 |0.0292 |
183.276 | 0.000 | 0.000 | 0.057 | 0.0322 |-0.0107 |0.0000 |0.0006 |0.0296 |
183.853 | 0.000 | 0.000 | 0.058 | 0.0326 |-0.0108 |0.0000 |0.0006 |0.0300 |
184.425 | 0.000 | 0.000 | 0.059 | 0.0330 |-0.0109 |0.0000 |0.0007 |0.0304 |
184.993 | 0.000 | 0.000 | 0.060 | 0.0334 |-0.0111 |0.0000 |0.0007 |0.0308 |
185.557 | 0.000 | 0.000 | 0.061 | 0.0338 |-0.0112 |0.0000 |0.0007 |0.0312 |
186.116 | 0.000 | 0.000 | 0.062 | 0.0342 |-0.0113 |0.0000 |0.0007 |0.0315 |
186.671 | 0.000 | 0.000 | 0.063 | 0.0346 |-0.0115 |0.0000 |0.0007 |0.0319 |
187.222 | 0.000 | 0.000 | 0.064 | 0.0350 |-0.0116 |0.0000 |0.0007 |0.0323 |
187.768 | 0.000 | 0.000 | 0.065 | 0.0354 |-0.0117 |0.0000 |0.0007 |0.0327 |
188.311 | 0.000 | 0.000 | 0.066 | 0.0358 |-0.0119 |0.0000 |0.0007 |0.0331 |
188.850 | 0.000 | 0.000 | 0.067 | 0.0362 |-0.0120 |0.0000 |0.0007 |0.0335 |
189.385 | 0.000 | 0.000 | 0.068 | 0.0366 |-0.0121 |0.0000 |0.0007 |0.0339 |
189.916 | 0.000 | 0.000 | 0.069 | 0.0370 |-0.0123 |0.0000 |0.0007 |0.0343 |
190.444 | 0.000 | 0.000 | 0.070 | 0.0374 |-0.0124 |0.0000 |0.0008 |0.0347 |
190.967 | 0.000 | 0.000 | 0.071 | 0.0378 |-0.0125 |0.0000 |0.0008 |0.0351 |
191.487 | 0.000 | 0.000 | 0.072 | 0.0382 |-0.0127 |0.0000 |0.0008 |0.0355 |
192.004 | 0.000 | 0.000 | 0.073 | 0.0386 |-0.0128 |0.0000 |0.0008 |0.0359 |
192.517 | 0.000 | 0.000 | 0.074 | 0.0390 |-0.0129 |0.0000 |0.0008 |0.0363 |
193.026 | 0.000 | 0.000 | 0.075 | 0.0394 |-0.0131 |0.0000 |0.0008 |0.0367 |
193.532 | 0.000 | 0.000 | 0.076 | 0.0398 |-0.0132 |0.0000 |0.0008 |0.0371 |
194.035 | 0.000 | 0.000 | 0.077 | 0.0402 |-0.0133 |0.0000 |0.0008 |0.0375 |
194.535 | 0.000 | 0.000 | 0.078 | 0.0406 |-0.0135 |0.0000 |0.0008 |0.0379 |
195.031 | 0.000 | 0.000 | 0.079 | 0.0410 |-0.0136 |0.0000 |0.0008 |0.0383 |
195.524 | 0.000 | 0.000 | 0.080 | 0.0414 |-0.0137 |0.0000 |0.0008 |0.0387 |
196.014 | 0.000 | 0.000 | 0.081 | 0.0418 |-0.0139 |0.0000 |0.0009 |0.0391 |
196.500 | 0.000 | 0.000 | 0.082 | 0.0422 |-0.0140 |0.0000 |0.0009 |0.0395 |
196.984 | 0.000 | 0.000 | 0.083 | 0.0427 |-0.0141 |0.0000 |0.0009 |0.0399 |
197.465 | 0.000 | 0.000 | 0.084 | 0.0431 |-0.0143 |0.0000 |0.0009 |0.0402 |
197.943 | 0.000 | 0.000 | 0.085 | 0.0435 |-0.0144 |0.0000 |0.0009 |0.0406 |
198.418 | 0.000 | 0.000 | 0.087 | 0.0439 |-0.0145 |0.0000 |0.0009 |0.0410 |
198.890 | 0.000 | 0.000 | 0.088 | 0.0443 |-0.0147 |0.0000 |0.0009 |0.0414 |
199.359 | 0.000 | 0.000 | 0.089 | 0.0447 |-0.0148 |0.0000 |0.0009 |0.0418 |
199.825 | 0.000 | 0.000 | 0.090 | 0.0451 |-0.0149 |0.0000 |0.0009 |0.0422 |
